Category: All categories

Country,Bridgerton: (12/1/20 - 11/6/21)
Guernsey,
Barbados,
Isle of Man,
St. Barthélemy,
Solomon Islands,
Ireland,100
Guyana,
Trinidad & Tobago,96
Jersey,
St. Lucia,
United Kingdom,88
Malta,
Cayman Islands,
St. Vincent & Grenadines,
U.S. Virgin Islands,
Seychelles,
Bermuda,
Andorra,
Australia,65
Equatorial Guinea,
New Zealand,62
Iceland,
Canada,60
Antigua & Barbuda,
St. Kitts & Nevis,
Jamaica,
Bahamas,
Sint Maarten,
United States,56
Hungary,54
Suriname,
Dominica,
Guadeloupe,
Fiji,
Italy,50
San Marino,
Curaçao,
Spain,48
Gibraltar,
Luxembourg,
Grenada,
Mauritius,
Faroe Islands,
French Polynesia,
Belgium,45
Martinique,
Zimbabwe,
Norway,42
South Africa,42
France,41
Cuba,
Aruba,
Maldives,
Portugal,40
Netherlands,38
Cape Verde,
Switzerland,38
Germany,38
Malawi,
Brazil,37
Puerto Rico,
Denmark,37
Guam,
Croatia,36
Austria,34
Costa Rica,34
Philippines,34
Greenland,
Romania,34
Belize,
Sweden,33
Slovakia,32
Brunei,
Cyprus,
Turks & Caicos Islands,
Åland Islands,
Rwanda,
American Samoa,
Réunion,
Singapore,29
Paraguay,
Uruguay,
Chile,28
Finland,28
Namibia,
Argentina,28
Czechia,28
Panama,
Armenia,
Liechtenstein,
Zambia,
Lebanon,
Mexico,25
United Arab Emirates,25
Botswana,
North Macedonia,
New Caledonia,
Montenegro,
Dominican Republic,24
Albania,
Slovenia,
Nigeria,24
Georgia,
Serbia,22
Uganda,
Kenya,22
Bosnia & Herzegovina,
Northern Mariana Islands,
Colombia,21
French Guiana,
Ghana,
Greece,21
St. Helena,
Qatar,
British Virgin Islands,
Bhutan,
Papua New Guinea,
Haiti,
Sierra Leone,
Lesotho,
Nicaragua,
Lithuania,
Honduras,
Turkey,17
Senegal,
Djibouti,
Madagascar,
Venezuela,16
Kosovo,
Malaysia,16
El Salvador,
Guatemala,
Macao,
Gambia,
Peru,14
Ecuador,14
Israel,14
Bahrain,
Sri Lanka,
Latvia,
Azerbaijan,
Tunisia,
Hong Kong,13
Cameroon,
Thailand,12
Angola,
Oman,
Bolivia,
Morocco,
Tanzania,
Bulgaria,
Indonesia,10
Moldova,
Palestine,
Myanmar (Burma),
Côte d’Ivoire,
Togo,
Estonia,
Nepal,
Pakistan,9
Somalia,
Jordan,
Liberia,
Egypt,9
Kuwait,
South Sudan,
Eswatini,
Sudan,
Algeria,
Mali,
Mozambique,
Cambodia,
Ethiopia,
Laos,
Vietnam,6
China,
Poland,6
India,6
Mongolia,
Saudi Arabia,5
Guinea,
South Korea,5
Bangladesh,
Libya,
Iran,5
Benin,
Congo - Brazzaville,
Gabon,
Congo - Kinshasa,
Iraq,
Niger,
Afghanistan,
Taiwan,
Kazakhstan,
Ukraine,
Kyrgyzstan,
Russia,
Syria,
Burkina Faso,
Yemen,
Belarus,
Uzbekistan,
Japan,
Falkland Islands (Islas Malvinas),
Marshall Islands,
Tonga,
St. Pierre & Miquelon,
Kiribati,
Vanuatu,
Central African Republic,
Timor-Leste,
Turkmenistan,
Tajikistan,
Anguilla,
Antarctica,
French Southern Territories,
Burundi,
Caribbean Netherlands,
Bouvet Island,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Eritrea,
Western Sahara,
Micronesia,
Guinea-Bissau,
Heard & McDonald Islands,
British Indian Ocean Territory,
St. Martin,
Monaco,
Mauritania,
Montserrat,
Mayotte,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
São Tomé & Príncipe,
Chad,
Tokelau,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
Samoa,
