Category: All categories

Country,money heist: (5/2/19 - 11/6/21)
Zimbabwe,100
Maldives,
Eswatini,
Malawi,
Ethiopia,78
Zambia,77
Kenya,75
Malta,
Nigeria,69
Ghana,66
Nepal,63
Pakistan,61
Botswana,
Philippines,58
Lesotho,
Mauritius,53
Namibia,
Sierra Leone,
Uganda,46
St. Lucia,
South Africa,44
Sri Lanka,43
United Arab Emirates,43
India,42
Gambia,
Tanzania,41
Singapore,39
Trinidad & Tobago,39
Qatar,38
St. Vincent & Grenadines,
Somalia,
Jamaica,33
Northern Mariana Islands,
Dominica,
Rwanda,
Afghanistan,
Bangladesh,30
Brunei,
Gibraltar,
Bermuda,
Bahrain,
Barbados,
Turks & Caicos Islands,
Bahamas,
Grenada,
Bhutan,
Sint Maarten,
North Macedonia,
Aruba,
Iran,23
Isle of Man,
St. Kitts & Nevis,
Lebanon,21
Seychelles,
Lithuania,21
Guyana,
Cayman Islands,
Belize,
Antigua & Barbuda,
Liberia,
Malaysia,19
Oman,19
Curaçao,
United Kingdom,18
Ireland,18
Indonesia,17
Croatia,17
New Zealand,17
Faroe Islands,
Iceland,
Guernsey,
Kuwait,16
South Sudan,
Australia,16
Jersey,
Myanmar (Burma),
British Virgin Islands,
Canada,15
Bosnia & Herzegovina,14
Hungary,14
St. Helena,
Fiji,
Djibouti,
Guam,
Slovakia,13
Suriname,
Slovenia,13
Hong Kong,13
Cyprus,
Serbia,11
Georgia,
Macao,
Mongolia,
Montenegro,
U.S. Virgin Islands,
Czechia,10
United States,10
Estonia,
Bulgaria,10
Cameroon,
Latvia,
Armenia,
Kosovo,
Albania,
Laos,
Thailand,6
Iraq,
Mozambique,
Norway,6
Papua New Guinea,
Jordan,
Saudi Arabia,6
Cambodia,
Finland,5
China,
Vietnam,5
Egypt,4
Cape Verde,
Romania,4
Puerto Rico,
Togo,
Burundi,
Palestine,
Timor-Leste,
Denmark,4
Luxembourg,
Israel,3
Haiti,
Sudan,
Benin,
Sweden,3
Moldova,
Kyrgyzstan,
Azerbaijan,
Switzerland,3
Netherlands,3
Greece,
Austria,
Angola,
Congo - Brazzaville,
Tunisia,
Gabon,
Congo - Kinshasa,
Senegal,
Portugal,
Tajikistan,
Morocco,
Côte d’Ivoire,
Guinea,
Belgium,
Cuba,
Germany,2
Kazakhstan,
Mauritania,
Syria,
Poland,1
South Korea,
Madagascar,
Taiwan,
Spain,1
Algeria,
Libya,
Ukraine,
Panama,
Uzbekistan,
Niger,
Yemen,
Russia,1
El Salvador,
Dominican Republic,
Turkey,1
Guatemala,
Costa Rica,
Nicaragua,
Honduras,
Italy,1
France,1
Belarus,
Uruguay,
Mexico,<1
Ecuador,
Peru,
Japan,<1
Colombia,
Paraguay,
Chile,
Argentina,
Bolivia,
Venezuela,
Brazil,
Montserrat,
Marshall Islands,
Micronesia,
American Samoa,
Åland Islands,
Vanuatu,
Samoa,
Caribbean Netherlands,
Liechtenstein,
Guinea-Bissau,
San Marino,
French Polynesia,
Chad,
Western Sahara,
Andorra,
Turkmenistan,
Guadeloupe,
Martinique,
Anguilla,
Antarctica,
French Southern Territories,
Burkina Faso,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Eritrea,
Falkland Islands (Islas Malvinas),
Equatorial Guinea,
Greenland,
French Guiana,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Martin,
Monaco,
Mali,
Mayotte,
New Caledonia,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
Réunion,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
