Year,Title,IMDb,RottenTomatoes,Service
2019,The Irishman,7.8,98,Netflix
2016,Dangal,8.4,97,Netflix
2020,David Attenborough: A Life on Our Planet,9,95,Netflix
2001,Lagaan: Once Upon a Time in India,8.1,94,Netflix
2018,Roma,7.7,94,Netflix
2018,To All the Boys I've Loved Before,7.1,94,Netflix
2020,The Social Dilemma,7.6,93,Netflix
2017,Okja,7.3,92,Netflix
2018,The Ballad of Buster Scruggs,7.3,92,Netflix
2020,The Trial of the Chicago 7,7.8,92,Netflix
2019,Article 15,8.2,92,Netflix
2017,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.7,92,Netflix
2019,Dolemite Is My Name,7.3,92,Netflix
2017,Mudbound,7.4,91,Netflix
2004,Swades,8.2,91,Netflix
2019,Fyre,7.2,91,Netflix
2020,Miss Americana,7.4,90,Netflix
2014,Virunga,8.2,90,Netflix
2004,Black Friday,8.5,90,Netflix
2015,Talvar,8.2,90,Netflix
2019,The King,7.2,90,Netflix
2018,John Mulaney: Kid Gorgeous at Radio City,8,89,Netflix
2019,I Am Mother,6.7,89,Netflix
2019,Tell Me Who I Am,7.6,89,Netflix
2006,The Departed,8.5,89,Netflix
2015,Winter on Fire: Ukraine's Fight for Freedom,8.4,89,Netflix
1991,Terminator 2: Judgment Day,8.5,89,Netflix
2019,I Lost My Body,7.6,89,Netflix
2012,Django Unchained,8.4,89,Netflix
2020,The Half of It,6.9,89,Netflix
2019,The Boy Who Harnessed the Wind,7.6,89,Netflix
2020,The Devil All the Time,7.1,89,Netflix
2016,The Fundamentals of Caring,7.3,89,Netflix
2020,Pieces of a Woman,7.1,88,Netflix
2017,Gerald's Game,6.5,88,Netflix
2017,On Body and Soul,7.6,88,Netflix
2010,Shutter Island,8.2,88,Netflix
2019,Always Be My Maybe,6.8,88,Netflix
2011,The Intouchables,8.5,88,Netflix
2019,Bill Burr: Paper Tiger,8.2,87,Netflix
2013,Special 26,8,87,Netflix
2020,Kiss the Ground,8.3,87,Netflix
2020,Crip Camp: A Disability Revolution,7.7,87,Netflix
2020,Extraction,6.7,87,Netflix
2005,No Direction Home: Bob Dylan,8.5,87,Netflix
2001,Kabhi Khushi Kabhie Gham,7.4,87,Netflix
2020,His House,6.5,87,Netflix
2019,Super Deluxe,8.4,87,Netflix
2018,The Guernsey Literary & Potato Peel Pie Society,7.4,87,Netflix
2020,A Secret Love,7.9,87,Netflix
2018,The Night Comes for Us,7,87,Netflix
1998,The Big Lebowski,8.1,87,Netflix
2018,Pad Man,7.9,87,Netflix
2019,American Factory,7.4,86,Netflix
2018,Bird Box,6.6,86,Netflix
2002,The Pianist,8.5,86,Netflix
2009,3 Idiots,8.4,86,Netflix
