word,n
life,589
family,372
world,362
love,341
woman,312
friends,303
series,288
documentary,262
school,229
lives,198
home,196
takes,183
father,175
girl,172
city,158
true,150
comedy,148
war,147
time,146
death,145
save,144
special,143
team,143
son,140
town,140
murder,138
past,130
stand,130
mysterious,128
teen,128
secret,127
crime,126
daughter,126
mother,126
wife,121
boy,120
star,117
women,117
story,116
film,114
stories,112
fight,110
day,109
falls,108
based,107
brother,106
friend,106
student,105
battle,103
drug,103
police,103
drama,102
evil,100
returns,100
set,99
comedian,98
live,98
career,96
college,96
romance,95
comic,94
american,92
mission,92
history,90
marriage,90
power,90
cop,89
dark,89
personal,88
people,87
meets,85
real,85
begins,84
music,84
night,84
journey,83
sets,82
job,80
village,80
future,79
game,79
couple,78
discover,77
husband,77
learn,77
forces,76
leads,75
living,75
struggles,75
agent,72
detective,72
adventure,71
dreams,71
run,71
childhood,70
gang,70
social,70
trip,70
tv,70
relationship,69
business,68
earth,68
human,68
kids,68
revenge,68
students,68
wealthy,68
forced,67
search,67
york,67
events,65
political,65
sex,65
teenage,65
chance,64
determined,64
change,63
crew,63
learns,63
modern,63
parents,63
dangerous,62
fun,62
prison,62
quest,62
christmas,61
friendship,61
india,61
killer,61
reality,61
rescue,61
sister,61
top,61
u.s,61
bond,60
child,60
explore,60
plan,60
powerful,60
secrets,60
adventures,59
culture,59
girlfriend,59
heart,59
meet,59
moves,59
unexpected,59
missing,58
stage,58
struggling,58
win,58
hit,57
law,57
band,56
brothers,56
discovers,56
criminal,55
indian,55
leaves,55
share,55
writer,55
mumbai,54
single,54
stop,54
country,53
explores,53
house,53
join,53
money,53
travels,53
wild,53
challenges,52
interviews,52
local,52
pals,52
action,51
deadly,51
joins,51
makes,51
brings,50
children,50
government,50
head,50
land,50
powers,50
stars,50
starts,50
winning,50
car,49
inside,49
london,49
solve,49
truth,49
accident,48
magical,48
middle,48
officer,48
bring,47
families,47
follow,47
legendary,47
soccer,47
british,46
doctor,46
elite,46
female,46
host,46
master,46
rich,46
road,46
amid,45
aspiring,45
epic,45
haunted,45
identity,45
island,45
travel,45
violent,45
classic,44
competition,44
fall,44
famous,44
form,44
including,44
navigate,44
plans,44
protect,44
relationships,44
rise,44
singer,44
tale,44
tour,44
army,43
century,43
company,43
days,43
dream,43
force,43
married,43
popular,43
spirit,43
teams,43
teens,43
boyfriend,42
brutal,42
celebrity,42
dead,42
hometown,42
ii,42
lost,42
race,42
teacher,42
beautiful,41
inspired,41
leader,41
party,41
remote,41
threatens,41
actor,40
begin,40
boss,40
decides,40
filmmaker,40
left,40
magic,40
marry,40
troubled,40
wedding,40
class,39
decades,39
director,39
footage,39
king,39
move,39
society,39
struggle,39
america,38
art,38
artist,38
chef,38
control,38
family's,38
father's,38
lead,38
paths,38
play,38
romantic,38
street,38
ambitious,37
animal,37
animated,37
body,37
boys,37
examines,37
featuring,37
mystery,37
pop,37
rock,37
survive,37
teenager,37
terrorist,37
attack,36
caught,36
club,36
corruption,36
desperate,36
driver,36
escape,36
food,36
free,36
intimate,36
justice,36
late,36
return,36
seeks,36
south,36
strange,36
strangers,36
supernatural,36
taking,36
tales,36
world's,36
age,35
attempt,35
beloved,35
characters,35
embarks,35
fame,35
hard,35
journalist,35
losing,35
loves,35
mom,35
musical,35
rival,35
shares,35
start,35
test,35
video,35
ancient,34
break,34
compete,34
con,34
create,34
crimes,34
crisis,34
girls,34
global,34
media,34
sisters,34
skills,34
baby,33
complicated,33
dance,33
eccentric,33
fate,33
fights,33
final,33
gay,33
kingdom,33
major,33
notorious,33
ruthless,33
scenes,33
sinister,33
arts,32
bad,32
biggest,32
community,32
decide,32
finding,32
holiday,32
killed,32
lawyer,32
offers,32
plot,32
rangers,32
seeking,32
short,32
siblings,32
space,32
summer,32
chronicles,31
cops,31
creatures,31
estranged,31
growing,31
hunt,31
john,31
light,31
martial,31
medical,31
memories,31
mexico,31
national,31
player,31
politics,31
professor,31
prove,31
scientists,31
successful,31
talented,31
thriller,31
trapped,31
unique,31
10,30
care,30
dad,30
dating,30
deep,30
falling,30
hot,30
investigate,30
investigates,30
issues,30
los,30
owner,30
pair,30
path,30
planet,30
train,30
agents,29
black,29
criminals,29
enemy,29
extraordinary,29
fashion,29
found,29
hidden,29
hollywood,29
horror,29
online,29
paris,29
partner,29
residents,29
ring,29
spain,29
stay,29
survival,29
tough,29
tragic,29
violence,29
1980s,28
angeles,28
businessman,28
camp,28
deal,28
dog,28
encounters,28
experience,28
expert,28
fellow,28
fighting,28
helps,28
hired,28
hits,28
hotel,28
industry,28
leave,28
movie,28
murdered,28
reveals,28
serial,28
success,28
suddenly,28
tells,28
underworld,28
wrong,28
book,27
center,27
embark,27
empire,27
french,27
half,27
hilarious,27
mexican,27
mind,27
named,27
passion,27
professional,27
raised,27
seek,27
sends,27
steal,27
streets,27
torn,27
affair,26
attempts,26
bank,26
cancer,26
chaos,26
close,26
conspiracy,26
cultural,26
demon,26
demons,26
hires,26
hope,26
humor,26
leading,26
loss,26
meeting,26
north,26
president,26
private,26
reporter,26
runs,26
scheme,26
shot,26
terrifying,26
uncover,26
visit,26
answers,25
bill,25
chinese,25
connection,25
controversial,25
cross,25
encounter,25
experiences,25
faith,25
filled,25
forms,25
gangster,25
hopes,25
humans,25
iconic,25
increasingly,25
la,25
learning,25
led,25
military,25
monsters,25
musician,25
nazi,25
neighborhood,25
pal,25
politician,25
talent,25
tech,25
veteran,25
1970s,24
accused,24
african,24
alien,24
befriends,24
born,24
cat,24
corrupt,24
crush,24
dancer,24
eye,24
freedom,24
gifted,24
handsome,24
hong,24
investigation,24
kidnapped,24
kong,24
packed,24
princess,24
reunite,24
reveal,24
royal,24
rule,24
russian,24
soldiers,24
super,24
track,24
tragedy,24
training,24
traveling,24
trouble,24
unaware,24
wake,24
apartment,23
arrives,23
battles,23
beauty,23
capture,23
champion,23
civil,23
divorce,23
fast,23
figure,23
ghost,23
heads,23
hoping,23
lands,23
lessons,23
loses,23
monster,23
park,23
poor,23
prince,23
public,23
seemingly,23
spirited,23
suicide,23
undercover,23
ups,23
anthology,22
breaks,22
building,22
