"","ID","number_of_films"
"1","afghanistan",1
"2","albania",1
"3","algeria",3
"4","angola",1
"5","argentina",91
"6","armenia",1
"7","australia",160
"8","austria",12
"9","azerbaijan",1
"10","bahamas",1
"11","bangladesh",4
"12","belarus",1
"13","belgium",90
"14","bermuda",1
"15","botswana",1
"16","brazil",97
"17","bulgaria",10
"18","burkina faso",1
"19","cambodia",6
"20","cameroon",1
"21","canada",445
"22","cayman islands",2
"23","chile",29
"24","china",267
"25","colombia",52
"26","croatia",4
"27","cuba",1
"28","cyprus",1
"29","czech republic",22
"30","denmark",48
"31","dominican republic",1
"32","ecuador",1
"33","egypt",117
"34","ethiopia",1
"35","finland",11
"36","france",393
"37","georgia",2
"38","germany",232
"39","ghana",5
"40","greece",11
"41","guatemala",2
"42","hungary",11
"43","iceland",11
"44","india",1046
"45","indonesia",90
"46","iran",4
"47","iraq",2
"48","ireland",46
"49","israel",30
"50","italy",100
"51","jamaica",1
"52","japan",318
"53","jordan",9
"54","kazakhstan",1
"55","kenya",6
"56","kuwait",8
"57","latvia",1
"58","lebanon",31
"59","liechtenstein",1
"60","lithuania",1
"61","luxembourg",12
"62","malawi",1
"63","malaysia",26
"64","malta",3
"65","mauritius",2
"66","mexico",169
"67","mongolia",1
"68","montenegro",1
"69","morocco",6
"70","mozambique",1
"71","namibia",2
"72","nepal",2
"73","netherlands",50
"74","new zealand",33
"75","nicaragua",1
"76","nigeria",103
"77","norway",30
"78","pakistan",24
"79","palestine",1
"80","panama",1
"81","paraguay",1
"82","peru",10
"83","philippines",83
"84","poland",41
"85","portugal",6
"86","puerto rico",1
"87","qatar",10
"88","romania",14
"89","russia",30
"90","samoa",1
"91","saudi arabia",13
"92","senegal",3
"93","serbia",7
"94","singapore",41
"95","slovakia",1
"96","slovenia",3
"97","somalia",1
"98","south africa",62
"99","south korea",231
"100","spain",232
"101","sri lanka",1
"102","sudan",1
"103","sweden",42
"104","switzerland",19
"105","syria",3
"106","taiwan",89
"107","thailand",70
"108","turkey",113
"109","uganda",1
"110","uk",806
"111","ukraine",3
"112","united arab emirates",37
"113","uruguay",14
"114","usa",3690
"115","vatican",1
"116","venezuela",4
"117","vietnam",7
"118","zimbabwe",3
