"","Year","Title","IMDb","RottenTomatoes","Netflix","Hulu","PrimeVideo","DisneyPlus","Service"
"1",2019,"The Irishman",7.8,98,1,0,0,0,"Netflix"
"2",2016,"Dangal",8.4,97,1,0,0,0,"Netflix"
"3",2020,"David Attenborough: A Life on Our Planet",9,95,1,0,0,0,"Netflix"
"4",2001,"Lagaan: Once Upon a Time in India",8.1,94,1,0,0,0,"Netflix"
"5",2018,"Roma",7.7,94,1,0,0,0,"Netflix"
"6",2018,"To All the Boys I've Loved Before",7.1,94,1,0,0,0,"Netflix"
"7",2020,"The Social Dilemma",7.6,93,1,0,0,0,"Netflix"
"8",2017,"Okja",7.3,92,1,0,0,0,"Netflix"
"9",2018,"The Ballad of Buster Scruggs",7.3,92,1,0,0,0,"Netflix"
"10",2020,"The Trial of the Chicago 7",7.8,92,1,0,0,0,"Netflix"
"11",2019,"Article 15",8.2,92,1,0,0,0,"Netflix"
"12",2017,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.7,92,1,0,0,0,"Netflix"
"13",2019,"Dolemite Is My Name",7.3,92,1,0,0,0,"Netflix"
"14",2017,"Mudbound",7.4,91,1,0,0,0,"Netflix"
"15",2004,"Swades",8.2,91,1,0,0,0,"Netflix"
"16",2019,"Fyre",7.2,91,1,0,0,0,"Netflix"
"17",2020,"Miss Americana",7.4,90,1,0,0,0,"Netflix"
"18",2014,"Virunga",8.2,90,1,0,0,0,"Netflix"
"19",2004,"Black Friday",8.5,90,1,0,0,0,"Netflix"
"20",2015,"Talvar",8.2,90,1,0,0,0,"Netflix"
"21",2019,"The King",7.2,90,1,0,0,0,"Netflix"
"22",2018,"John Mulaney: Kid Gorgeous at Radio City",8,89,1,0,0,0,"Netflix"
"23",2019,"I Am Mother",6.7,89,1,0,0,0,"Netflix"
"24",2019,"Tell Me Who I Am",7.6,89,1,0,0,0,"Netflix"
"25",2006,"The Departed",8.5,89,1,0,0,0,"Netflix"
"26",2015,"Winter on Fire: Ukraine's Fight for Freedom",8.4,89,1,0,0,0,"Netflix"
"27",1991,"Terminator 2: Judgment Day",8.5,89,1,0,0,0,"Netflix"
"28",2019,"I Lost My Body",7.6,89,1,0,0,0,"Netflix"
"29",2012,"Django Unchained",8.4,89,1,0,0,0,"Netflix"
"30",2020,"The Half of It",6.9,89,1,0,0,0,"Netflix"
"31",2019,"The Boy Who Harnessed the Wind",7.6,89,1,0,0,0,"Netflix"
"32",2020,"The Devil All the Time",7.1,89,1,0,0,0,"Netflix"
"33",2016,"The Fundamentals of Caring",7.3,89,1,0,0,0,"Netflix"
"34",2020,"Pieces of a Woman",7.1,88,1,0,0,0,"Netflix"
"35",2017,"Gerald's Game",6.5,88,1,0,0,0,"Netflix"
"36",2017,"On Body and Soul",7.6,88,1,0,0,0,"Netflix"
"37",2010,"Shutter Island",8.2,88,1,0,0,0,"Netflix"
"38",2019,"Always Be My Maybe",6.8,88,1,0,0,0,"Netflix"
"39",2011,"The Intouchables",8.5,88,1,0,0,0,"Netflix"
"40",2019,"Bill Burr: Paper Tiger",8.2,87,1,0,0,0,"Netflix"
"41",2013,"Special 26",8,87,1,0,0,0,"Netflix"
"42",2020,"Kiss the Ground",8.3,87,1,0,0,0,"Netflix"
"43",2020,"Crip Camp: A Disability Revolution",7.7,87,1,0,0,0,"Netflix"
"44",2020,"Extraction",6.7,87,1,0,0,0,"Netflix"
"45",2005,"No Direction Home: Bob Dylan",8.5,87,1,0,0,0,"Netflix"
"46",2001,"Kabhi Khushi Kabhie Gham",7.4,87,1,0,0,0,"Netflix"
"47",2020,"His House",6.5,87,1,0,0,0,"Netflix"
"48",2019,"Super Deluxe",8.4,87,1,0,0,0,"Netflix"
"49",2018,"The Guernsey Literary & Potato Peel Pie Society",7.4,87,1,0,0,0,"Netflix"
"50",2020,"A Secret Love",7.9,87,1,0,0,0,"Netflix"
"51",2018,"The Night Comes for Us",7,87,1,0,0,0,"Netflix"
"52",1998,"The Big Lebowski",8.1,87,1,0,0,0,"Netflix"
"53",2018,"Pad Man",7.9,87,1,0,0,0,"Netflix"
"54",2019,"American Factory",7.4,86,1,0,0,0,"Netflix"
"55",2018,"Bird Box",6.6,86,1,0,0,0,"Netflix"
"56",2002,"The Pianist",8.5,86,1,0,0,0,"Netflix"
"57",2009,"3 Idiots",8.4,86,1,0,0,0,"Netflix"
"58",2016,"The Distinguished Citizen",7.5,86,1,0,0,0,"Netflix"
"59",2019,"A Shaun the Sheep Movie: Farmageddon",6.8,86,1,0,0,0,"Netflix"
"60",1971,"A Clockwork Orange",8.3,86,1,0,0,0,"Netflix"
"61",2017,"What Happened to Monday",6.9,86,1,0,0,0,"Netflix"
"62",2015,"Anthony Jeselnik: Thoughts and Prayers",7.8,86,1,0,0,0,"Netflix"
"63",2016,"The White Helmets",7.5,86,1,0,0,0,"Netflix"
"64",2019,"Invader ZIM: Enter the Florpus",7.5,86,1,0,0,0,"Netflix"
"65",2018,"Happy as Lazzaro",7.5,85,1,0,0,0,"Netflix"
"66",2017,"Chasing Coral",8.1,85,1,0,0,0,"Netflix"
"67",2003,"Kal Ho Naa Ho",7.9,85,1,0,0,0,"Netflix"
"68",2006,"Pan's Labyrinth",8.2,85,1,0,0,0,"Netflix"
"69",2016,"Team Foxcatcher",7.3,85,1,0,0,0,"Netflix"
"70",2017,"The Meyerowitz Stories (New and Selected)",6.9,85,1,0,0,0,"Netflix"
"71",2006,"Casino Royale",8,85,1,0,0,0,"Netflix"
