"","ID","Most_Popular_Show","PopularityScore","Bridgerton","SquidGame","MoneyHeist","StrangerThings","ThirteenReasonsWhy"
"1","algeria","ThirteenReasonsWhy",51,0,34,0,0,51
"2","argentina","StrangerThings",76,28,4,0,76,50
"3","australia","ThirteenReasonsWhy",91,65,41,16,74,91
"4","austria","StrangerThings",35,34,25,0,35,29
"5","azerbaijan","SquidGame",100,0,100,0,0,0
"6","bangladesh","MoneyHeist",30,0,21,30,19,27
"7","belgium","ThirteenReasonsWhy",69,45,30,0,51,69
"8","bosnia and herzegovina","ThirteenReasonsWhy",64,0,50,14,0,64
"9","brazil","StrangerThings",61,37,2,0,61,25
"10","bulgaria","SquidGame",52,0,52,10,39,30
"11","cambodia","SquidGame",40,0,40,0,0,0
"12","canada","ThirteenReasonsWhy",79,60,37,15,78,79
"13","chile","StrangerThings",80,28,8,0,80,59
"14","colombia","StrangerThings",41,21,4,0,41,37
"15","costa rica","StrangerThings",68,34,0,0,68,61
"16","croatia","ThirteenReasonsWhy",59,36,29,17,45,59
"17","czech republic","StrangerThings",77,28,26,10,77,61
"18","denmark","StrangerThings",44,37,25,4,44,41
"19","dominican republic","Bridgerton",24,24,0,0,0,0
"20","ecuador","ThirteenReasonsWhy",38,14,0,0,37,38
"21","egypt","ThirteenReasonsWhy",59,9,22,4,18,59
"22","ethiopia","MoneyHeist",78,0,0,78,0,0
"23","finland","StrangerThings",42,28,26,5,42,27
"24","france","ThirteenReasonsWhy",75,41,30,1,59,75
"25","georgia","SquidGame",66,0,66,0,0,0
"26","germany","StrangerThings",40,38,24,2,40,24
"27","ghana","MoneyHeist",66,0,0,66,0,0
"28","greece","StrangerThings",46,21,25,0,46,46
"29","guatemala","StrangerThings",47,0,0,0,47,38
"30","hong kong","StrangerThings",25,13,20,13,25,24
"31","hungary","StrangerThings",98,54,25,14,98,43
"32","india","MoneyHeist",42,6,14,42,20,35
"33","indonesia","SquidGame",38,10,38,17,11,16
"34","iran","ThirteenReasonsWhy",35,5,25,23,11,35
"35","iraq","SquidGame",21,0,21,0,0,0
"36","ireland","Bridgerton",100,100,37,18,80,100
"37","israel","ThirteenReasonsWhy",33,14,14,3,23,33
"38","italy","StrangerThings",63,50,29,1,63,33
"39","jamaica","MoneyHeist",33,0,0,33,0,0
"40","japan","StrangerThings",2,0,1,0,2,1
"41","jordan","ThirteenReasonsWhy",58,0,29,0,0,58
"42","kenya","MoneyHeist",75,22,18,75,0,33
"43","kuwait","ThirteenReasonsWhy",53,0,0,16,0,53
"44","lebanon","ThirteenReasonsWhy",64,0,49,21,0,64
"45","lithuania","ThirteenReasonsWhy",43,0,38,21,0,43
"46","malaysia","SquidGame",61,16,61,19,18,29
"47","mauritius","MoneyHeist",53,0,0,53,0,0
"48","mexico","StrangerThings",69,25,6,0,69,51
"49","mongolia","SquidGame",93,0,93,0,0,0
"50","morocco","ThirteenReasonsWhy",53,0,48,0,0,53
"51","myanmar","SquidGame",65,0,65,0,0,0
"52","nepal","MoneyHeist",63,0,44,63,0,0
"53","netherlands","ThirteenReasonsWhy",46,38,26,3,39,46
"54","new zealand","ThirteenReasonsWhy",91,62,37,17,66,91
"55","nigeria","MoneyHeist",69,24,24,69,0,14
"56","norway","StrangerThings",56,42,41,6,56,53
"57","oman","MoneyHeist",19,0,0,19,0,0
"58","pakistan","MoneyHeist",61,9,18,61,21,45
"59","peru","StrangerThings",42,14,6,0,42,41
"60","philippines","SquidGame",77,34,77,58,55,75
"61","poland","StrangerThings",66,6,29,1,66,32
"62","portugal","StrangerThings",57,40,29,0,57,43
"63","puerto rico","ThirteenReasonsWhy",70,0,0,0,0,70
"64","qatar","MoneyHeist",38,0,34,38,0,0
"65","romania","ThirteenReasonsWhy",79,34,32,4,43,79
"66","russia","StrangerThings",6,0,2,1,6,3
"67","saudi arabia","ThirteenReasonsWhy",46,5,10,6,28,46
"68","serbia","ThirteenReasonsWhy",64,22,54,11,32,64
"69","singapore","SquidGame",86,29,86,39,44,56
"70","slovakia","ThirteenReasonsWhy",50,32,24,13,49,50
"71","slovenia","MoneyHeist",13,0,0,13,0,0
"72","south africa","ThirteenReasonsWhy",64,42,21,44,33,64
"73","south korea","ThirteenReasonsWhy",9,5,8,0,0,9
"74","spain","StrangerThings",82,48,5,1,82,24
"75","sri lanka","MoneyHeist",43,0,21,43,0,0
"76","sweden","StrangerThings",59,33,32,3,59,45
"77","switzerland","Bridgerton",38,38,25,3,38,38
"78","taiwan","ThirteenReasonsWhy",6,0,0,0,0,6
"79","tanzania","MoneyHeist",41,0,0,41,0,0
"80","thailand","SquidGame",37,12,37,6,15,17
"81","tobago","Bridgerton",96,96,0,39,0,0
"82","trinidad","Bridgerton",96,96,0,39,0,0
"83","tunisia","ThirteenReasonsWhy",72,0,44,0,0,72
"84","turkey","SquidGame",65,17,65,1,53,46
"85","uganda","MoneyHeist",46,0,0,46,0,0
"86","uk","Bridgerton",88,88,37,18,78,70
"87","ukraine","StrangerThings",5,0,2,0,5,0
"88","united arab emirates","ThirteenReasonsWhy",58,25,33,43,41,58
"89","uruguay","StrangerThings",62,0,0,0,62,53
"90","usa","StrangerThings",100,56,33,10,100,83
"91","venezuela","ThirteenReasonsWhy",32,16,0,0,24,32
"92","vietnam","SquidGame",30,6,30,5,6,9
"93","zambia","MoneyHeist",77,0,0,77,0,0
"94","zimbabwe","MoneyHeist",100,0,0,100,0,0
