"","ID","number_of_films"
"1","afghanistan",1
"2","albania",1
"3","argentina",68
"4","armenia",1
"5","australia",126
"6","austria",10
"7","azerbaijan",1
"8","bangladesh",3
"9","belgium",66
"10","bermuda",1
"11","botswana",1
"12","brazil",66
"13","bulgaria",8
"14","cambodia",3
"15","canada",318
"16","cayman islands",1
"17","chile",23
"18","china",217
"19","colombia",36
"20","croatia",4
"21","cuba",1
"22","cyprus",1
"23","czech republic",15
"24","denmark",38
"25","dominican republic",2
"26","ecuador",1
"27","egypt",54
"28","finland",9
"29","france",271
"30","georgia",2
"31","germany",157
"32","ghana",2
"33","greece",8
"34","guatemala",1
"35","hungary",5
"36","iceland",6
"37","india",838
"38","indonesia",52
"39","iran",4
"40","iraq",2
"41","ireland",33
"42","israel",26
"43","italy",67
"44","japan",231
"45","jordan",6
"46","kazakhstan",1
"47","kenya",1
"48","kuwait",1
"49","latvia",1
"50","lebanon",9
"51","liechtenstein",1
"52","luxembourg",7
"53","malawi",1
"54","malaysia",21
"55","malta",2
"56","mauritius",1
"57","mexico",129
"58","mongolia",1
"59","montenegro",1
"60","morocco",6
"61","namibia",1
"62","nepal",2
"63","netherlands",37
"64","new zealand",23
"65","nicaragua",1
"66","nigeria",36
"67","norway",21
"68","pakistan",23
"69","panama",1
"70","paraguay",1
"71","peru",9
"72","philippines",47
"73","poland",27
"74","portugal",4
"75","qatar",6
"76","romania",6
"77","russia",24
"78","samoa",1
"79","saudi arabia",2
"80","senegal",2
"81","serbia",5
"82","singapore",30
"83","slovakia",1
"84","slovenia",3
"85","somalia",1
"86","south africa",30
"87","south korea",162
"88","spain",178
"89","sri lanka",1
"90","sudan",1
"91","sweden",33
"92","switzerland",15
"93","syria",1
"94","taiwan",75
"95","thailand",56
"96","turkey",87
"97","uganda",1
"98","uk",602
"99","ukraine",3
"100","united arab emirates",21
"101","uruguay",9
"102","usa",2610
"103","vatican",1
"104","venezuela",3
"105","vietnam",4
"106","zimbabwe",2
